,Année,Mois,Jour,Heure,Equipe domicile,Equipe exterieure,Vainqueur,Score domicile,Score extérieur,Buteurs,Lieu du match,Journée,Région,Temperature moyenne,Précipitations en mm
288,2021,03,14,T17:05:00+0100,Monaco,Lille,ex-aequo,0,0,[None],Monaco,29,provence-alpes-c-te-d-azur,12.5,1
289,2021,03,14,T21:00:00+0100,Paris-SG,Nantes,exterieur,1,2,"['J. Draxler', 'R. Kolo Muani', 'M. Simon']",Paris,29,ile-de-france,7.5,2
290,2021,03,19,T21:00:00+0100,Saint-Étienne,Monaco,exterieur,0,4,"['S. Jovetic', 'A. Tchouaméni', 'S. Diop', 'K. Diatta']",Saint-Étienne,30,rh-ne-alpes,1.5,0
291,2021,03,20,T13:00:00+0100,Metz,Rennes,exterieur,1,3,"['P. Yade', 'J. Doku', 'M. Terrier', 'S. Guirassy']",Metz,30,lorraine,1.5,0
292,2021,03,20,T17:00:00+0100,Nice,Marseille,domicile,3,0,"['K. Thuram', 'A. Gouiri', 'A. Claude-Maurice']",Nice,30,provence-alpes-c-te-d-azur,9.0,0
293,2021,03,21,T13:00:00+0100,Strasbourg,Lens,exterieur,1,2,"['J. Bellegarde', 'M. Haïdara', 'S. Fofana']",Strasbourg,30,alsace,3.5,1
294,2021,03,21,T15:00:00+0100,Montpellier,Bordeaux,domicile,3,1,"['J. Sambia', 'G. Laborde', 'S. Mavididi', 'U. Hwang']",Montpellier,30,languedoc-roussillon,8.0,0
295,2021,03,21,T15:00:00+0100,Brest,Angers,ex-aequo,0,0,[None],Brest,30,bretagne,9.0,1
296,2021,03,21,T15:00:00+0100,Dijon,Reims,exterieur,0,1,['B. Dia'],Dijon,30,bourgogne,3.5,0
297,2021,03,21,T15:00:00+0100,Nantes,Lorient,ex-aequo,1,1,"['R. Kolo Muani', 'A. Laurienté']",Nantes,30,pays-de-la-loire,6.5,1
298,2021,03,21,T17:05:00+0100,Lille,Nîmes,exterieur,1,2,"['Xeka', 'M. Koné', 'R. Ripart']",Lille,30,nord-pas-de-calais,8.5,1
299,2021,03,21,T21:00:00+0100,Lyon,Paris-SG,exterieur,2,4,"['I. Slimani', 'M. Cornet', 'K. Mbappé', 'D. Pereira', 'A. Di Maria', 'K. Mbappé']",Lyon,30,rh-ne-alpes,4.0,0
300,2021,04,03,T13:00:00+0200,Monaco,Metz,domicile,4,0,"['F. Fabregas', 'K. Volland', 'W. Ben Yedder', 'W. Ben Yedder']",Monaco,31,provence-alpes-c-te-d-azur,14.0,7
301,2021,04,03,T17:00:00+0200,Paris-SG,Lille,exterieur,0,1,['J. David'],Paris,31,ile-de-france,8.5,0
302,2021,04,03,T21:00:00+0200,Lens,Lyon,ex-aequo,1,1,"['J. Clauss', 'L. Paqueta']",Lens,31,nord-pas-de-calais,7.5,0
303,2021,04,04,T13:00:00+0200,Angers,Montpellier,ex-aequo,1,1,"['S. Bahoken', 'S. Mavididi']",Angers,31,pays-de-la-loire,8.0,0
304,2021,04,04,T15:00:00+0200,Reims,Rennes,ex-aequo,2,2,"['B. Dia', 'G. Konan', 'S. Guirassy', 'S. Guirassy']",Reims,31,champagne-ardenne,6.5,0
305,2021,04,04,T15:00:00+0200,Nantes,Nice,exterieur,1,2,"['A. Touré', 'K. Dolberg', 'K. Dolberg']",Nantes,31,pays-de-la-loire,7.5,0
306,2021,04,04,T15:00:00+0200,Bordeaux,Strasbourg,exterieur,2,3,"['P. Baysse', 'U. Hwang', 'L. Koné', 'H. Diallo', 'L. Ajorque']",Bordeaux,31,aquitaine,11.5,0
307,2021,04,04,T15:00:00+0200,Lorient,Brest,domicile,1,0,['L. Abergel'],Lorient,31,bretagne,8.0,0
308,2021,04,04,T17:05:00+0200,Nîmes,Saint-Étienne,exterieur,0,2,"['W. Khazri', 'D. Bouanga']",Nîmes,31,languedoc-roussillon,11.0,0
309,2021,04,04,T21:00:00+0200,Marseille,Dijon,domicile,2,0,"['L. Balerdi', 'A. Gonzalez']",Marseille,31,provence-alpes-c-te-d-azur,14.5,1
310,2021,04,09,T21:00:00+0200,Metz,Lille,exterieur,0,2,"['B. Yilmaz', 'M. Çelik']",Metz,32,lorraine,7.5,1
311,2021,04,10,T17:00:00+0200,Strasbourg,Paris-SG,exterieur,1,4,"['M. Sahi', 'K. Mbappé', 'P. Sarabia', 'M. Kean', 'L. Paredes']",Strasbourg,32,alsace,13.0,3
312,2021,04,10,T21:00:00+0200,Montpellier,Marseille,ex-aequo,3,3,"['A. Delort', 'G. Laborde', 'G. Laborde', 'A. Milik', 'P. Gueye', 'L. Perrin']",Montpellier,32,languedoc-roussillon,10.0,16
313,2021,04,11,T13:00:00+0200,Rennes,Nantes,domicile,1,0,['M. Terrier'],Rennes,32,bretagne,5.5,3
314,2021,04,11,T15:00:00+0200,Lens,Lorient,domicile,4,1,"['G. Kakuta', 'C. Jean', 'A. Kalimuendo', 'S. Banza', 'T. Moffi']",Lens,32,nord-pas-de-calais,2.0,16
315,2021,04,11,T15:00:00+0200,Nice,Reims,ex-aequo,0,0,[None],Nice,32,provence-alpes-c-te-d-azur,10.5,30
316,2021,04,11,T15:00:00+0200,Saint-Étienne,Bordeaux,domicile,4,1,"['W. Khazri', 'W. Khazri', 'W. Khazri', 'Z. Youssouf', 'U. Hwang']",Saint-Étienne,32,rh-ne-alpes,11.5,14
317,2021,04,11,T15:00:00+0200,Brest,Nîmes,ex-aequo,1,1,"['B. Chardonnet', 'M. Koné']",Brest,32,bretagne,6.0,1
318,2021,04,11,T17:05:00+0200,Monaco,Dijon,domicile,3,0,"['S. Jovetic', 'W. Ben Yedder', 'W. Ben Yedder']",Monaco,32,provence-alpes-c-te-d-azur,11.5,29
319,2021,04,11,T21:00:00+0200,Lyon,Angers,domicile,3,0,"['M. Depay', 'L. Paqueta', 'M. Depay']",Lyon,32,rh-ne-alpes,13.0,14
320,2021,04,16,T21:00:00+0200,Lille,Montpellier,ex-aequo,1,1,"['L. Araujo', 'A. Delort']",Lille,33,nord-pas-de-calais,6.5,0
321,2021,04,17,T12:45:00+0200,Angers,Rennes,exterieur,0,3,"['J. Doku', 'M. Terrier', 'S. Guirassy']",Angers,33,pays-de-la-loire,6.5,1
322,2021,04,17,T17:00:00+0200,Marseille,Lorient,domicile,3,2,"['D. Payet', 'P. Lirola', 'P. Lirola', 'T. Moffi', 'T. Moffi']",Marseille,33,provence-alpes-c-te-d-azur,11.0,0
323,2021,04,18,T13:00:00+0200,Paris-SG,Saint-Étienne,domicile,3,2,"['K. Mbappé', 'K. Mbappé', 'M. Icardi', 'D. Bouanga', 'R. Hamouma']",Paris,33,ile-de-france,8.5,0
324,2021,04,18,T15:00:00+0200,Brest,Lens,ex-aequo,1,1,"['Y. Cahuzac', 'G. Kakuta']",Brest,33,bretagne,8.0,0
325,2021,04,18,T15:00:00+0200,Dijon,Nice,domicile,2,0,"['F. Chafik', 'Y. Benzia']",Dijon,33,bourgogne,7.5,2
326,2021,04,18,T15:00:00+0200,Reims,Metz,ex-aequo,0,0,[None],Reims,33,champagne-ardenne,8.0,1
327,2021,04,18,T15:00:00+0200,Nîmes,Strasbourg,ex-aequo,1,1,"['R. Ripart', 'D. Liénard']",Nîmes,33,languedoc-roussillon,11.5,0
328,2021,04,18,T17:05:00+0200,Bordeaux,Monaco,exterieur,0,3,"['K. Volland', 'G. Martins', 'S. Jovetic']",Bordeaux,33,aquitaine,12.0,0
329,2021,04,18,T21:00:00+0200,Nantes,Lyon,exterieur,1,2,"['N. Pallois', 'M. Depay', 'M. Depay']",Nantes,33,pays-de-la-loire,8.5,0
330,2021,04,23,T21:00:00+0200,Reims,Marseille,exterieur,1,3,"['N. Mbuku', 'D. Payet', 'A. Milik', 'D. Payet']",Reims,34,champagne-ardenne,9.0,0
331,2021,04,24,T13:00:00+0200,Saint-Étienne,Brest,exterieur,1,2,"['W. Khazri', 'G. Charbonnier', 'G. Charbonnier']",Saint-Étienne,34,rh-ne-alpes,13.5,0
